@relation vowel-10-1tst.dat
@attribute TT integer [0, 1]
@attribute SpeakerNumber integer [0, 14]
@attribute Sex integer [0, 1]
@attribute F0 real [-5.211, -0.941]
@attribute F1 real [-1.274, 5.074]
@attribute F2 real [-2.487, 1.431]
@attribute F3 real [-1.409, 2.377]
@attribute F4 real [-2.127, 1.831]
@attribute F5 real [-0.836, 2.327]
@attribute F6 real [-1.537, 1.403]
@attribute F7 real [-1.293, 2.039]
@attribute F8 real [-1.613, 1.309]
@attribute F9 real [-1.68, 1.396]
@attribute Class integer [0, 10]
@inputs TT, SpeakerNumber, Sex, F0, F1, F2, F3, F4, F5, F6, F7, F8, F9
@outputs Class
@data
0, 0, 0, 0.3888444088604217, 0.46765784900559954, 0.2607163828537875, 0.8824224519940917, 0.6589205397301349, 0.7485008818342151, 0.3497076023391813, 0.6630849220103987, 0.5836909871244635, 0.017074296262113542, 9
0, 0, 0, 0.3923138510808648, 0.552230160262599, 0.549618320610687, 0.7152141802067947, 0.0, 0.23350970017636685, 0.7906432748538013, 0.517157712305026, 0.6941084666406555, 0.40147669589293955, 6
0, 0, 0, 0.5994128636242327, 0.43193666731029157, 0.33059307105108643, 0.643426883308715, 0.27923538230884554, 0.6825396825396824, 0.2943469785575049, 0.7511265164644715, 0.48068669527896996, 0.06737425011536685, 10
0, 0, 0, 0.751534560982119, 0.47402973547016797, 0.1908396946564886, 0.7078286558345643, 0.3062218890554722, 0.5604938271604938, 0.3173489278752437, 0.4876949740034663, 0.5329691767460008, 0.027226580526072908, 3
0, 0, 0, 0.5577795569789165, 0.5487545858273799, 0.4013505578391075, 0.5858197932053176, 0.1356821589205397, 0.38483245149911816, 0.7692007797270956, 0.2630849220103987, 0.573936792820913, 0.33087217351176745, 5
0, 0, 0, 0.27515345609821207, 0.5582158717899209, 0.7099236641221375, 0.8759231905465289, 0.02998500749625188, 0.17566137566137568, 0.6179337231968811, 0.5071057192374351, 0.8626609442060087, 0.46054453161052145, 7
0, 0, 0, 0.8433413397384574, 0.18575014481560148, 0.3561362301820318, 0.3488921713441655, 0.5895802098950524, 0.5192239858906526, 0.565692007797271, 0.5961871750433276, 0.45142411236831836, 0.2893401015228426, 2
0, 0, 0, 0.6354416866826794, 0.6966595867928173, 0.5008807985907223, 0.3935007385524373, 0.2807346326836581, 0.3855379188712522, 0.5001949317738792, 0.5584055459272098, 0.6164650799843933, 0.11213659437009688, 4
0, 0, 0, 0.6290365625834, 0.7389457424213169, 0.37874339401056967, 0.35332348596750374, 0.33770614692653667, 0.46419753086419757, 0.5189083820662769, 0.4970537261698441, 0.5770581349980491, 0.022150438394093197, 4
0, 0, 0, 0.6981585268214572, 0.4601274377292913, 0.6124486200822079, 0.371344165435746, 0.5022488755622189, 0.23915343915343917, 0.458869395711501, 0.4915077989601387, 0.8677331252438549, 0.2713428703276419, 5
0, 0, 0, 0.8905791299706431, 0.26955010619810776, 0.23429242513211984, 0.7344165435745938, 0.5044977511244377, 0.7932980599647266, 0.4647173489278753, 0.7927209705372618, 0.29067499024580573, 0.37517305029995385, 2
0, 0, 0, 0.8988524152655457, 0.4632168372272639, 0.358191426893717, 0.7326440177252586, 0.3440779610194902, 0.5594356261022927, 0.5216374269005848, 0.7403812824956673, 0.3839250877877487, 0.40609137055837563, 3
0, 0, 0, 0.6666666666666666, 0.5823518053678317, 0.6394597768643571, 0.8847858197932055, 0.08095952023987996, 0.2500881834215168, 0.32592592592592595, 0.95736568457539, 0.573156457276629, 0.6437471158283341, 6
0, 0, 0, 0.19535628502802238, 0.593357791079359, 0.6150910158543748, 0.8596750369276218, 0.39505247376311836, 0.29523809523809524, 0.7333333333333334, 0.38024263431542465, 1.0, 0.5560682971850485, 9
0, 0, 0, 0.993061115559114, 0.05580227843212976, 0.0, 0.6930576070901036, 0.5262368815592203, 1.0, 0.7118908382066278, 0.7996533795493935, 0.0, 0.07937240424550068, 0
0, 0, 0, 0.8756338404056578, 0.44255647808457227, 0.46887844979448035, 0.854357459379616, 0.24625187406296845, 0.4430335097001764, 0.4343079922027291, 0.8332755632582323, 0.4533749512290285, 0.5062298107983387, 5
0, 0, 0, 0.6794769148652254, 0.5618845336937632, 0.7850851438637699, 0.4159527326440178, 0.23088455772113942, 0.236331569664903, 0.43235867446393766, 0.7577123050259966, 0.5875926648458838, 0.1859713890170743, 4
0, 0, 0, 0.41099546303709644, 0.38096157559374394, 0.9465648854961832, 1.0, 0.159295352323838, 0.22433862433862434, 0.0, 0.6693240901213172, 0.8482247366367539, 0.9312413474850023, 7
0, 0, 0, 0.9204697091006138, 0.022011971423054652, 0.1605989430416912, 0.5234859675036928, 0.6338080959520239, 0.7696649029982363, 0.7399610136452243, 0.8769497400346621, 0.555598907530238, 0.1767420396862021, 0
0, 0, 0, 0.8217240459033894, 0.45568642595095576, 0.5108631826189078, 0.3775480059084195, 0.7342578710644677, 0.17283950617283952, 0.5641325536062378, 0.44159445407279035, 0.5786188060866173, 0.08398707891093682, 3
0, 0, 0, 0.5166800106752069, 0.31878741069704575, 0.8147386964180858, 0.6209748892171345, 0.19040479760119933, 0.42962962962962964, 0.3941520467836258, 0.7237435008665511, 0.7296137339055795, 0.8684817720350715, 8
0, 0, 0, 0.699759807846277, 0.2741842054450666, 0.7196124486200823, 0.5001477104874447, 0.2908545727136431, 0.44973544973544977, 0.4881091617933724, 0.6322357019064125, 0.7058134998049161, 0.4877711121365944, 10
0, 0, 0, 0.6933546837469976, 0.4128210079165862, 0.9154433352906637, 0.5140324963072379, 0.17316341829085452, 0.10088183421516757, 0.42807017543859655, 0.7164644714038129, 0.5875926648458838, 0.4347023534840794, 4
0, 0, 0, 0.6407792900987457, 0.29484456458775826, 0.743687610099824, 0.5090103397341211, 0.35119940029985003, 0.48077601410934745, 0.4869395711500975, 0.6530329289428077, 0.6621147093250098, 0.42870327641901246, 10
