@relation ionosphere-10-5tst.dat
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class integer [0, 1]
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 1.0, 0.488, 0.9704999999999999, 0.5325, 0.9605, 0.3835, 0.886, 0.418, 0.764, 0.39849999999999997, 0.782, 0.4965, 0.6719999999999999, 0.3625, 0.7645, 0.391, 0.7255, 0.41100000000000003, 0.53, 0.322, 0.5115, 0.2355, 0.5165, 0.174, 0.5665, 0.23399999999999999, 0.512, 0.189, 0.4715, 0.202, 0.477, 0.17149999999999999, 0
1, 0.956, 0.5215, 0.971, 0.5115, 0.9735, 0.5265, 0.968, 0.5065, 0.9595, 0.5315, 0.964, 0.5605, 0.96, 0.531, 0.9445, 0.5635, 0.9185, 0.572, 0.905, 0.5589999999999999, 0.885, 0.571, 0.879, 0.5565, 0.868, 0.5665, 0.8320000000000001, 0.5765, 0.8545, 0.554, 0.8265, 0.557, 0
1, 0.9545, 0.544, 0.9325, 0.5845, 1.0, 0.583, 0.776, 0.841, 0.851, 0.6835, 0.5815, 0.7135, 0.788, 0.7305, 0.7555000000000001, 0.748, 0.658, 0.565, 0.6890000000000001, 0.7725, 0.6565, 0.779, 0.6245, 0.7825, 0.593, 0.7829999999999999, 0.563, 0.7805, 0.5345, 0.7755000000000001, 0.5605, 0.8385, 0
1, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.5, 0.5, 1.0, 0.0, 1.0, 0.0, 1
0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1
1, 0.8375, 0.5225, 0.885, 0.447, 0.887, 0.519, 0.8300000000000001, 0.4775, 0.8225, 0.5055, 0.8340000000000001, 0.43, 0.8605, 0.4885, 0.885, 0.5435, 0.8095, 0.4605, 0.879, 0.381, 0.87, 0.4265, 0.9245, 0.4245, 0.8694999999999999, 0.471, 0.8340000000000001, 0.5115, 0.9319999999999999, 0.519, 0.866, 0.504, 0
1, 0.8705, 0.525, 0.8955, 0.5125, 0.893, 0.519, 0.831, 0.5495, 0.839, 0.656, 0.8795, 0.5365, 0.8734999999999999, 0.542, 0.8534999999999999, 0.4605, 0.8180000000000001, 0.5, 0.85, 0.557, 0.841, 0.5609999999999999, 0.835, 0.577, 0.821, 0.5680000000000001, 0.8285, 0.5875, 0.7989999999999999, 0.5735, 0.7875, 0.5755, 0
1, 0.9724999999999999, 0.2535, 1.0, 0.4815, 0.9944999999999999, 0.0645, 0.9505, 0.8345, 1.0, 0.4495, 1.0, 0.4375, 1.0, 0.425, 1.0, 0.4115, 1.0, 0.3975, 1.0, 0.3825, 1.0, 0.367, 1.0, 0.35050000000000003, 1.0, 0.3335, 1.0, 0.3155, 1.0, 0.2965, 1.0, 0.27649999999999997, 0
1, 1.0, 0.21400000000000002, 0.996, 0.133, 0.9475, 0.013000000000000012, 1.0, 0.321, 1.0, 0.384, 0.8145, 0.068, 1.0, 0.21250000000000002, 1.0, 0.10199999999999998, 0.884, 0.05499999999999999, 0.983, 0.0, 0.8505, 0.1255, 0.8095, 0.11549999999999999, 0.769, 0.10999999999999999, 0.905, 0.0, 1.0, 0.0, 0.652, 0.1195, 0
1, 0.9570000000000001, 0.9079999999999999, 0.135, 1.0, 0.3025, 0.7785, 0.527, 0.6485, 0.40700000000000003, 0.449, 0.484, 0.455, 0.507, 0.483, 0.5055, 0.4975, 0.5015, 0.5005, 0.5, 0.5005, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1
