@relation contraceptive-10-2tst.dat
@attribute Wife_age real [16.0, 49.0]
@attribute Wife_education real [1.0, 4.0]
@attribute Husband_education real [1.0, 4.0]
@attribute Children real [0.0, 16.0]
@attribute Wife_religion real [0.0, 1.0]
@attribute Wife_working real [0.0, 1.0]
@attribute Husband_occupation real [1.0, 4.0]
@attribute Standard-of-living real [1.0, 4.0]
@attribute Media_exposure real [0.0, 1.0]
@attribute Contraceptive_method integer [1, 3]
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure
@outputs Contraceptive_method
@data
0.8125, 0.3333333333333333, 0.6666666666666667, 0.7000000000000001, 1.0, 1.0, 0.6666666666666667, 1.0, 0.0, 1
0.65625, 1.0, 1.0, 0.1, 1.0, 0.0, 0.0, 1.0, 0.0, 1
0.8125, 0.0, 0.3333333333333333, 0.8, 1.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
0.5, 0.3333333333333333, 0.3333333333333333, 0.2, 1.0, 1.0, 0.6666666666666667, 0.0, 0.0, 1
0.9375, 0.3333333333333333, 0.6666666666666667, 0.0, 1.0, 0.0, 0.0, 0.6666666666666667, 0.0, 1
1.0, 1.0, 1.0, 0.7000000000000001, 0.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
0.84375, 1.0, 0.3333333333333333, 0.8, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.375, 0.3333333333333333, 0.6666666666666667, 0.1, 1.0, 1.0, 0.0, 0.3333333333333333, 0.0, 1
0.25, 1.0, 1.0, 0.1, 1.0, 1.0, 0.0, 0.6666666666666667, 0.0, 1
0.28125, 0.6666666666666667, 1.0, 0.2, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.40625, 1.0, 1.0, 0.2, 0.0, 1.0, 0.6666666666666667, 0.0, 0.0, 1
0.5, 1.0, 1.0, 0.30000000000000004, 1.0, 1.0, 0.0, 1.0, 0.0, 1
0.1875, 1.0, 1.0, 0.2, 1.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
0.15625, 0.3333333333333333, 0.3333333333333333, 0.2, 1.0, 1.0, 0.6666666666666667, 0.0, 0.0, 1
0.71875, 0.6666666666666667, 0.6666666666666667, 0.1, 1.0, 0.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.15625, 1.0, 1.0, 0.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
0.25, 0.6666666666666667, 0.3333333333333333, 0.2, 1.0, 1.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
1.0, 0.3333333333333333, 0.0, 1.0, 1.0, 0.0, 0.3333333333333333, 1.0, 0.0, 1
0.09375, 0.3333333333333333, 1.0, 0.0, 1.0, 1.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
0.46875, 0.3333333333333333, 1.0, 0.2, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.28125, 0.3333333333333333, 1.0, 0.0, 1.0, 1.0, 0.6666666666666667, 0.0, 0.0, 1
0.46875, 1.0, 1.0, 0.1, 1.0, 1.0, 0.0, 1.0, 0.0, 1
0.875, 0.0, 0.6666666666666667, 0.1, 1.0, 1.0, 0.3333333333333333, 0.6666666666666667, 1.0, 1
0.3125, 0.3333333333333333, 0.6666666666666667, 0.1, 1.0, 0.0, 0.6666666666666667, 1.0, 0.0, 1
0.21875, 1.0, 1.0, 0.1, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.3125, 1.0, 1.0, 0.1, 1.0, 1.0, 0.0, 0.3333333333333333, 0.0, 1
0.28125, 1.0, 1.0, 0.1, 1.0, 0.0, 0.0, 1.0, 0.0, 1
0.96875, 0.0, 0.6666666666666667, 0.4, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 1.0, 1
0.84375, 0.3333333333333333, 0.3333333333333333, 0.1, 1.0, 0.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
0.8125, 0.0, 0.6666666666666667, 0.5, 1.0, 0.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
0.21875, 1.0, 1.0, 0.1, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 1
0.125, 0.0, 0.6666666666666667, 0.0, 1.0, 0.0, 0.6666666666666667, 1.0, 1.0, 1
1.0, 1.0, 1.0, 0.4, 1.0, 1.0, 0.6666666666666667, 1.0, 0.0, 1
0.78125, 0.6666666666666667, 0.6666666666666667, 0.30000000000000004, 1.0, 0.0, 0.3333333333333333, 1.0, 0.0, 1
0.1875, 0.6666666666666667, 0.6666666666666667, 0.6000000000000001, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
1.0, 0.0, 0.6666666666666667, 0.0, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 1.0, 1
0.1875, 0.6666666666666667, 0.6666666666666667, 0.2, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 1
0.65625, 0.3333333333333333, 1.0, 0.5, 0.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 1
0.6875, 1.0, 1.0, 0.2, 1.0, 0.0, 0.0, 1.0, 0.0, 1
0.0625, 0.6666666666666667, 0.6666666666666667, 0.1, 1.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
0.5, 0.6666666666666667, 0.6666666666666667, 0.6000000000000001, 1.0, 1.0, 0.6666666666666667, 1.0, 0.0, 2
