@relation contraceptive-10-8tst.dat
@attribute Wife_age real [16.0, 49.0]
@attribute Wife_education real [1.0, 4.0]
@attribute Husband_education real [1.0, 4.0]
@attribute Children real [0.0, 16.0]
@attribute Wife_religion real [0.0, 1.0]
@attribute Wife_working real [0.0, 1.0]
@attribute Husband_occupation real [1.0, 4.0]
@attribute Standard-of-living real [1.0, 4.0]
@attribute Media_exposure real [0.0, 1.0]
@attribute Contraceptive_method integer [1, 3]
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure
@outputs Contraceptive_method
@data
0.606060606060606, 0.6666666666666667, 0.6666666666666667, 0.6666666666666666, 1.0, 1.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
0.9696969696969697, 0.0, 0.0, 0.5833333333333333, 1.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
0.24242424242424243, 0.6666666666666667, 1.0, 0.0, 1.0, 0.0, 0.6666666666666667, 0.0, 0.0, 1
0.36363636363636365, 0.3333333333333333, 0.3333333333333333, 0.08333333333333333, 1.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
0.3939393939393939, 0.3333333333333333, 0.6666666666666667, 0.08333333333333333, 1.0, 1.0, 0.0, 0.0, 0.0, 1
0.48484848484848486, 0.6666666666666667, 0.6666666666666667, 0.5833333333333333, 1.0, 0.0, 0.3333333333333333, 0.6666666666666667, 0.0, 1
0.5757575757575757, 1.0, 1.0, 0.16666666666666666, 1.0, 0.0, 0.3333333333333333, 1.0, 0.0, 1
0.8787878787878789, 0.0, 1.0, 0.41666666666666663, 1.0, 1.0, 0.0, 0.3333333333333333, 1.0, 1
0.4242424242424243, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1
0.18181818181818188, 0.3333333333333333, 1.0, 0.08333333333333333, 1.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
1.0, 0.3333333333333333, 0.0, 0.8333333333333333, 1.0, 0.0, 0.3333333333333333, 1.0, 0.0, 1
0.33333333333333337, 0.6666666666666667, 0.3333333333333333, 0.25, 1.0, 1.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
0.8787878787878789, 0.0, 0.3333333333333333, 0.08333333333333333, 1.0, 0.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
0.48484848484848486, 0.6666666666666667, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1
0.18181818181818188, 0.0, 0.3333333333333333, 0.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.0, 1
0.24242424242424243, 1.0, 1.0, 0.08333333333333333, 1.0, 1.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
