@relation hayes-roth-10-8tra.dat
@attribute Hobby real [1.0, 3.0]
@attribute Age real [1.0, 4.0]
@attribute EducationalLevel real [1.0, 4.0]
@attribute MaritalStatus real [1.0, 4.0]
@attribute Class integer [1, 3]
@inputs Hobby, Age, EducationalLevel, MaritalStatus
@outputs Class
@data
0.5, 0.0, 0.0, 0.3333333333333333, 1
0.5, 1.0, 0.3333333333333333, 0.3333333333333333, 3
0.0, 0.0, 0.6666666666666667, 1.0, 3
0.0, 0.0, 0.6666666666666667, 0.3333333333333333, 2
1.0, 0.0, 0.6666666666666667, 0.3333333333333333, 2
1.0, 1.0, 0.3333333333333333, 1.0, 3
0.5, 0.3333333333333333, 0.0, 0.0, 1
0.0, 0.3333333333333333, 0.0, 0.0, 1
0.5, 0.3333333333333333, 0.6666666666666667, 1.0, 3
0.0, 0.0, 0.3333333333333333, 0.0, 1
0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 2
0.5, 1.0, 0.0, 1.0, 3
1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 2
0.0, 0.3333333333333333, 0.0, 0.0, 1
1.0, 0.0, 0.6666666666666667, 0.3333333333333333, 1
0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 2
1.0, 0.3333333333333333, 0.0, 0.6666666666666667, 1
0.5, 0.0, 0.3333333333333333, 0.0, 1
1.0, 0.3333333333333333, 0.0, 0.6666666666666667, 1
0.5, 0.6666666666666667, 0.3333333333333333, 0.0, 1
1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 2
1.0, 0.3333333333333333, 0.0, 0.6666666666666667, 2
0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 2
0.0, 0.0, 0.6666666666666667, 0.3333333333333333, 1
0.0, 1.0, 0.0, 0.0, 3
0.5, 0.3333333333333333, 0.0, 0.6666666666666667, 1
0.0, 0.3333333333333333, 0.0, 0.6666666666666667, 2
0.0, 0.0, 0.0, 0.3333333333333333, 1
0.5, 1.0, 0.6666666666666667, 0.0, 3
1.0, 0.0, 0.3333333333333333, 0.3333333333333333, 2
1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 2
0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 2
0.5, 0.3333333333333333, 0.3333333333333333, 0.0, 2
0.5, 0.3333333333333333, 0.0, 0.3333333333333333, 2
1.0, 0.3333333333333333, 0.0, 0.6666666666666667, 2
1.0, 0.3333333333333333, 0.0, 0.0, 1
1.0, 0.0, 0.3333333333333333, 0.0, 1
0.0, 0.3333333333333333, 0.0, 0.6666666666666667, 2
0.5, 0.0, 0.0, 0.3333333333333333, 1
0.0, 0.0, 0.0, 0.3333333333333333, 1
0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666667, 2
1.0, 0.6666666666666667, 0.6666666666666667, 0.0, 1
1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 2
1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 2
0.5, 0.0, 0.6666666666666667, 0.3333333333333333, 1
0.5, 0.3333333333333333, 0.3333333333333333, 0.0, 2
0.5, 0.0, 0.3333333333333333, 0.0, 1
0.5, 0.3333333333333333, 0.0, 0.6666666666666667, 1
0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 2
0.0, 0.3333333333333333, 1.0, 0.3333333333333333, 3
0.5, 0.3333333333333333, 0.0, 0.3333333333333333, 2
0.0, 0.0, 0.3333333333333333, 1.0, 3
0.0, 0.6666666666666667, 0.3333333333333333, 0.0, 1
0.5, 1.0, 1.0, 0.3333333333333333, 3
0.5, 0.6666666666666667, 0.3333333333333333, 0.0, 1
1.0, 0.0, 0.3333333333333333, 0.3333333333333333, 2
0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 2
1.0, 0.0, 1.0, 0.3333333333333333, 3
0.0, 0.0, 0.6666666666666667, 0.3333333333333333, 2
1.0, 0.0, 0.6666666666666667, 0.3333333333333333, 1
0.0, 0.3333333333333333, 1.0, 1.0, 3
0.0, 1.0, 0.3333333333333333, 0.0, 3
0.5, 0.0, 0.3333333333333333, 0.0, 1
1.0, 1.0, 0.0, 0.3333333333333333, 3
0.5, 0.3333333333333333, 1.0, 0.6666666666666667, 3
1.0, 0.0, 0.3333333333333333, 0.3333333333333333, 2
0.0, 0.0, 0.6666666666666667, 0.3333333333333333, 1
0.0, 0.3333333333333333, 0.0, 0.6666666666666667, 1
1.0, 0.6666666666666667, 0.6666666666666667, 0.3333333333333333, 2
0.5, 0.3333333333333333, 0.0, 0.6666666666666667, 2
1.0, 0.6666666666666667, 0.3333333333333333, 0.0, 2
